scenario_id,title,country,model,framework_summary,recommendation_count,high_priority_count,medium_priority_count,low_priority_count,recommendations,related_risks,governance_checklist,limitations,sources_used,source_count
001,AI-Assisted Malaria Diagnosis in Rural Ghana,Ghana,llama-3.3-70b-versatile,"The deployment of an AI system for malaria diagnosis in a rural Ghanaian hospital raises concerns about inadequate local validation, overreliance on AI output, and insufficient expertise. The WHO AI_FOR_HEALTH framework highlights the importance of considering the local context and potential biases in AI systems, particularly in low-income settings. The Continental_AI_Strategy also emphasizes the need for careful evaluation and consideration of ethical issues in AI applications.",3,1,2,0,"Conduct a thorough validation of the AI system using local patient samples to ensure its accuracy and effectiveness in the Ghanaian context; Develop a plan to address potential biases and errors in the AI system, including regular monitoring and evaluation of its performance; Ensure that local laboratory technicians receive training and support to effectively use and interpret the AI system's output, as well as to identify and address potential errors or biases",Inadequate Local Validation; Overreliance on AI Output; Insufficient Expertise,Has the AI system been validated using local patient samples?; Are there mechanisms in place to monitor and evaluate the AI system's performance?; Have local laboratory technicians received training and support to effectively use and interpret the AI system's output?,"The AI system may not be effective in detecting malaria strains that are unique to the Ghanaian context, which could lead to inaccurate diagnoses and treatments; The deployment of the AI system may exacerbate existing health disparities if it is not carefully evaluated and monitored to ensure that it is effective and unbiased",Continental_AI_Strategy chunk 100; WHO AI_FOR_HEALTH chunk 58; WHO AI_FOR_HEALTH chunk 148; WHO AI_FOR_HEALTH chunk 230; WHO AI_FOR_HEALTH chunk 56; WHO AI_FOR_HEALTH chunk 149,6
001,AI-Assisted Malaria Diagnosis in Rural Ghana,Ghana,openai/gpt-oss-20b,"Deploying an AI malaria diagnostic tool trained on Southeast Asian microscopy images in Ghana introduces contextual bias and a lack of local validation, violating WHO guidance that stresses external validation and risk–benefit assessment in low‑resource settings. The reliance on AI as the primary diagnostic reference without explainability or clear accountability further heightens the risk of patient harm and undermines trust in the health system.",3,2,1,0,"Conduct a rigorous local external validation study using Ghanaian blood smear images before full deployment.; Implement a mandatory dual‑review protocol: AI output must be cross‑checked by a trained microscopist for all cases, with technicians required to review even non‑flagged results.; Require the vendor to disclose training data provenance, model architecture, and provide explainable AI features (e.g., heatmaps, confidence scores).",Data Representativeness Gap; Unvalidated Deployment; Patient Harm Potential; Diagnostic Overreliance; Patient Harm Potential; Opaque Decision-Making; Vendor Performance Overestimation,,,WHO AI_FOR_HEALTH chunk 58; Continental_AI_Strategy chunk 100; WHO AI_FOR_HEALTH chunk 148; WHO AI_FOR_HEALTH chunk 408; WHO AI_FOR_HEALTH chunk 230; WHO AI_FOR_HEALTH chunk 57,6
001,AI-Assisted Malaria Diagnosis in Rural Ghana,Ghana,llama-3.1-8b-instant,"The deployment of an AI system for malaria diagnosis in rural Ghana raises concerns about contextual bias, lack of local data validation, and overreliance on AI output. The system was developed using microscopy images from Southeast Asian patient populations and may not perform well on diverse patient populations in Ghana. This highlights the need for careful consideration of the system's performance in real-world settings and the potential risks of misdiagnosis.",3,1,1,1,"Conduct a formal evaluation of the AI system using local patient samples before deployment, and consider adapting the system to better suit the local context.; Provide laboratory technicians with adequate training on the AI system and its limitations, and ensure that they understand the basis for the system's output.; Consider using a more transparent and interpretable AI system, and provide clear explanations for the system's output.",Lack of Local Data Validation; Overreliance on AI Output; Insufficient Training and Capacity; Lack of Transparency and Explainability,Verify that the AI system has been formally evaluated using local patient samples before deployment.; Ensure that laboratory technicians have received adequate training on the AI system and its limitations.; Review the AI system's output for transparency and interpretability.,"The AI system may not perform well on diverse patient populations in Ghana due to contextual bias.; The system's performance may be affected by the lack of local data validation.; The AI system may be vulnerable to overreliance on AI output, which could lead to misdiagnosis.",WHO AI_FOR_HEALTH chunk 408; WHO AI_FOR_HEALTH chunk 230; WHO AI_FOR_HEALTH chunk 148; Continental_AI_Strategy chunk 100; WHO AI_FOR_HEALTH chunk 58; WHO AI_FOR_HEALTH chunk 60,6
002,Maternal Health Risk Scoring in Kenya,Kenya,llama-3.3-70b-versatile,"The deployment of AI risk-scoring tools in low-resource settings like rural Kenya requires careful consideration of contextual bias, data quality, and transparency. The WHO AI_FOR_HEALTH framework highlights the need for algorithms to be tailored to specific healthcare needs and challenges, while the Continental_AI_Strategy emphasizes the importance of promoting affordable and accessible healthcare through AI adoption. The scenario context reveals significant risks related to data bias, lack of transparency, and inadequate training for community health workers.",3,2,1,0,Establish a process for clinicians to review borderline scores and patient appeals; Provide training for community health workers on AI-driven risk scoring and transparency; Develop and validate AI algorithms using diverse and representative data sets,Lack of Clinician Review for Borderline Scores; Lack of Patient Appeal Process; Inadequate Transparency and Explainability; Insufficient Training for Community Health Workers; Data Bias and Generalizability,Are clinicians involved in reviewing borderline scores and patient appeals?; Are community health workers trained to explain AI-driven risk scores and factors influencing them?; Are AI algorithms developed and validated using diverse and representative data sets?,"The use of AI risk-scoring tools in low-resource settings may exacerbate existing healthcare disparities if not carefully implemented and monitored.; The potential for AI-driven healthcare decisions to be used for non-medical purposes, such as insurance or employment discrimination, must be carefully considered and mitigated.",WHO AI_FOR_HEALTH chunk 408; WHO AI_FOR_HEALTH chunk 142; WHO AI_FOR_HEALTH chunk 58; Continental_AI_Strategy chunk 101; WHO AI_FOR_HEALTH chunk 217; WHO AI_FOR_HEALTH chunk 148,6
002,Maternal Health Risk Scoring in Kenya,Kenya,llama-3.1-8b-instant,"The deployment of an AI risk-scoring tool in rural Kenya raises concerns about contextual bias, data bias, and lack of transparency, which may lead to inaccurate risk scores and inadequate care for patients. The frameworks highlight the need for awareness of potential benefits and ethical aspects, as well as the importance of designing AI algorithms that address specific healthcare needs and challenges faced by African countries. The lack of clinician review for borderline scores and patient appeal process exacerbates these concerns.",4,2,2,0,"Establish a process for clinicians to review borderline scores and provide feedback to community health workers.; Develop and implement a patient appeal process that allows patients to contest their risk scores and receive feedback on the appeal outcome.; Provide training to community health workers on how to explain the risk-scoring tool and its limitations, as well as how to address patient concerns and appeals.; Update the risk-scoring tool to incorporate data from rural Kenyan patients and adjust the scoring model to reflect the specific healthcare needs and challenges faced by African countries.",Lack of Clinician Review for Borderline Scores; Data Bias and Generalizability; Lack of Patient Appeal Process; Inadequate Transparency and Explainability; Inadequate Transparency and Explainability; Insufficient Training for Community Health Workers; Data Bias and Generalizability,"Is a process in place for clinicians to review borderline scores and provide feedback to community health workers?; Is a patient appeal process established and communicated to patients?; Are community health workers trained on how to explain the risk-scoring tool and its limitations, as well as how to address patient concerns and appeals?",The risk-scoring tool may perpetuate existing health disparities and biases if not designed and implemented with careful consideration of the specific healthcare needs and challenges faced by African countries.; The tool may be vulnerable to data bias and generalizability issues if not regularly updated and validated with diverse data sets.,WHO AI_FOR_HEALTH chunk 408; WHO AI_FOR_HEALTH chunk 142; WHO AI_FOR_HEALTH chunk 58; Continental_AI_Strategy chunk 101; WHO AI_FOR_HEALTH chunk 217; WHO AI_FOR_HEALTH chunk 148,6
002,Maternal Health Risk Scoring in Kenya,Kenya,openai/gpt-oss-20b,"The Kenyan maternal health NGO's use of an AI risk‑scoring tool trained on urban Nairobi data for rural women raises significant governance concerns. WHO guidance highlights the danger of contextual bias, lack of transparency, and insufficient human oversight when algorithms are deployed outside their training environment, while the Continental AI Strategy stresses the need for locally relevant models and shared best practices. Without clear explanations, clinician review, and continuous evaluation, the tool risks unfairly influencing care decisions and eroding trust in the health system.",4,3,1,0,"Conduct a contextual bias assessment and retrain the risk‑scoring model using representative data from rural Kenyan communities.; Implement a transparent explanation module and provide training for community health workers on how risk scores are generated and what factors influence them.; Establish a clinician review pathway for borderline scores and create an appeals process that allows patients to contest their risk assessment.; Set up a continuous monitoring and impact assessment plan, including post‑deployment performance metrics, periodic audits, and feedback loops with frontline workers.",Bias and Fairness; Transparency and Explainability; Human Oversight; Bias and Fairness; Transparency and Explainability,,,Continental_AI_Strategy chunk 101; WHO AI_FOR_HEALTH chunk 408; WHO AI_FOR_HEALTH chunk 79; WHO AI_FOR_HEALTH chunk 147; WHO AI_FOR_HEALTH chunk 229; WHO AI_FOR_HEALTH chunk 227,6
003,Tuberculosis Screening at Nigerian Chest Clinics,Nigeria,llama-3.1-8b-instant,"The deployment of an AI tool for tuberculosis screening at Nigerian chest clinics raises concerns about transparency, performance variability, and over-reliance on AI output. The WHO AI_FOR_HEALTH framework emphasizes the need for transparency, rigorous testing, and continuous evaluation of AI technologies, particularly in low-resource settings. The lack of transparency in AI decision-making and inadequate performance review and monitoring pose significant risks to the effectiveness and safety of the tuberculosis screening process.",4,2,2,0,"Establish a transparent and collaborative relationship with the vendor to gain access to model architecture and training data details.; Conduct a formal performance review of the AI system, including testing on older X-ray equipment, to ensure its accuracy and consistency.; Implement a system to monitor and evaluate the performance of the AI system in real-world use, including its impact on patient outcomes.; Develop a plan to transition away from the vendor's automatic model updates and establish a process for modifying the system to meet the clinic's specific needs.",Lack of transparency in AI decision-making; Performance variability due to equipment differences; Inadequate performance review and monitoring; Vendor lock-in and lack of control,"Establish a governance committee to oversee the deployment and use of the AI system, including representatives from the clinic, vendor, and regulatory agencies.; Develop a data management plan to ensure the secure and transparent storage and sharing of patient data and AI system outputs.; Implement a system for reporting and addressing any adverse events or errors related to the AI system.","The AI system may perpetuate existing biases and disparities in healthcare, particularly if it is trained on data from high-income settings. The clinic should consider the potential impact on low-income and marginalized populations.; The AI system may be vulnerable to cyber attacks and data breaches, compromising patient confidentiality and security. The clinic should implement robust security measures to protect against these risks.",WHO AI_FOR_HEALTH chunk 56; WHO AI_FOR_HEALTH chunk 424; WHO AI_FOR_HEALTH chunk 147; WHO AI_FOR_HEALTH chunk 408; WHO AI_FOR_HEALTH chunk 425; WHO AI_FOR_HEALTH chunk 58,6
003,Tuberculosis Screening at Nigerian Chest Clinics,Nigeria,openai/gpt-oss-20b,"The WHO AI for Health guidance stresses the need for prospective clinical evaluation, transparency of data and model performance, and continuous monitoring of AI tools, especially in low‑ and middle‑income settings where contextual bias can arise. In the Nigerian chest‑clinic scenario, these principles highlight gaps in validation, auditability, and regulatory oversight that could compromise patient safety and equity.",5,3,2,0,"Conduct an independent, prospective performance validation of the AI model on the clinics’ older X‑ray equipment before full deployment and after each automatic update.; Require the vendor to provide at least aggregate performance metrics (sensitivity, specificity, PPV, NPV) stratified by patient demographics and imaging device type, and to disclose the training data distribution or a summary of its representativeness.; Implement a local audit trail that records every AI inference, the device used, and the radiologist’s final decision, and allow radiologists to override AI triage without penalty.; Seek local regulatory approval or register the AI tool as a medical device under Nigeria’s national health authority, ensuring it meets applicable safety and efficacy standards.; Establish a continuous impact assessment program that tracks diagnostic outcomes, patient safety incidents, and equity metrics over time, and publishes findings to stakeholders.",Unvalidated performance on legacy equipment; Triage bias due to AI prioritization; Proprietary model opacity; Health equity impact; Vendor lock‑in and limited auditability; Triage bias due to AI prioritization; Potential regulatory non‑compliance; Health equity impact; Unvalidated performance on legacy equipment,Validate AI performance on all imaging devices in use before deployment.; Obtain vendor-supplied aggregate performance metrics stratified by device and patient subgroup.; Set up an audit trail for every AI inference and radiologist decision.; Ensure radiologists can override AI triage without penalty.; Secure local regulatory approval or device registration.; Implement a continuous monitoring and impact assessment schedule.,"The AI model’s proprietary nature limits the ability to independently verify or modify the algorithm, potentially enabling unintended bias or misuse.; Data used for training may contain sensitive patient information; inadequate de‑identification could pose privacy risks.; Automatic updates without local validation could introduce new errors or shift diagnostic thresholds, undermining trust.; The system’s reliance on imaging quality may disadvantage patients in underserved areas with older equipment, exacerbating health disparities.",WHO AI_FOR_HEALTH chunk 56; WHO AI_FOR_HEALTH chunk 58; WHO AI_FOR_HEALTH chunk 424; WHO AI_FOR_HEALTH chunk 425; WHO AI_FOR_HEALTH chunk 408; WHO AI_FOR_HEALTH chunk 147,6
003,Tuberculosis Screening at Nigerian Chest Clinics,Nigeria,llama-3.3-70b-versatile,"The deployment of AI for tuberculosis screening in Nigerian chest clinics raises concerns about transparency, performance variability, and over-reliance on AI output. The WHO AI_FOR_HEALTH framework excerpts emphasize the need for transparency, rigorous testing, and continuous evaluation of AI technologies, particularly in low- and middle-income countries. The excerpts also highlight the potential for contextual bias and the importance of considering the specific needs and resources of the deployment setting.",3,1,2,0,"Conduct a formal performance review and monitoring of the AI system, including evaluation of its accuracy, bias, and effectiveness in the Nigerian context; Negotiate with the vendor to obtain more information about the model architecture and training data, and to ensure that the system is adapted to the specific needs and resources of the Nigerian healthcare context; Develop guidelines and protocols for the use of AI output in clinical decision-making, including criteria for prioritizing cases and ensuring that radiologists do not over-rely on AI output",Inadequate performance review and monitoring; Lack of transparency in AI decision-making; Lack of transparency in AI decision-making; Vendor lock-in and lack of control; Over-reliance on AI output,Has a formal performance review and monitoring process been established for the AI system?; Have the clinic administrators and radiologists been trained on the use of AI output in clinical decision-making?; Are there guidelines and protocols in place for prioritizing cases based on AI output?,The AI system may not be effective in detecting tuberculosis in patients with certain co-morbidities or in patients who have been previously treated for tuberculosis; The use of AI for tuberculosis screening may exacerbate existing health disparities if the system is not carefully designed and evaluated to ensure equity and fairness,WHO AI_FOR_HEALTH chunk 56; WHO AI_FOR_HEALTH chunk 424; WHO AI_FOR_HEALTH chunk 147; WHO AI_FOR_HEALTH chunk 408; WHO AI_FOR_HEALTH chunk 425; WHO AI_FOR_HEALTH chunk 58,6
004,Patient Triage Automation in South Africa,South Africa,llama-3.3-70b-versatile,"The deployment of AI triage systems in South African healthcare settings raises concerns about ensuring equitable access to care, mitigating risks associated with algorithmic decision-making, and maintaining human oversight. The WHO AI_FOR_HEALTH framework emphasizes the need for careful assessment of AI technologies in resource-poor settings and the importance of human decision-making in critical care. The Continental_AI_Strategy highlights the potential benefits of AI in supporting healthcare provision, but also notes the need for careful consideration of privacy and ethical issues.",3,2,1,0,"Establish formal downtime protocols and conduct regular drills to ensure nursing staff are prepared to revert to manual triage during system outages; Involve clinical staff in the procurement and deployment process to ensure the AI triage system meets their needs and is integrated into existing workflows; Conduct regular assessments of the AI triage system's performance and impact on patient care, including monitoring for potential biases and errors",Lack of downtime protocols; Reduced practice and confusion among nursing staff; Insufficient clinical input in procurement decision; Lack of transparency in system decision-making,Are formal downtime protocols in place and regularly drilled?; Have clinical staff been involved in the procurement and deployment process?; Are regular assessments of the AI triage system's performance and impact on patient care being conducted?,The AI triage system may exacerbate existing healthcare disparities if not carefully designed and monitored; The system's reliance on algorithmic decision-making may raise concerns about transparency and accountability; The potential for the AI triage system to be used in ways that compromise patient care or confidentiality must be carefully considered,WHO AI_FOR_HEALTH chunk 239; Continental_AI_Strategy chunk 100; WHO AI_FOR_HEALTH chunk 209; WHO AI_FOR_HEALTH chunk 148; WHO AI_FOR_HEALTH chunk 295; WHO AI_FOR_HEALTH chunk 149,6
